                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5438,                 3.9237,                 1.3642,                 0.9912,                0.39344,                0.40228,                0.28099,                 1.0747,                  2.433,                  1.329,              0.0001667,              0.0001667,              0.0001667
                      2,                0.94781,                 2.1284,                 1.0814,                0.99475,                0.39344,                0.55272,                0.39317,                0.79923,                 1.7455,                  1.175,              0.0003466,              0.0003466,              0.0003466
                      3,                0.81116,                 1.4123,                0.99915,                0.82493,                0.77443,                0.81991,                0.59575,                0.77673,                  1.061,                 1.0739,             0.00052288,             0.00052288,             0.00052288
                      4,                0.76815,                0.88831,                0.99235,                0.84396,                0.66376,                0.72995,                0.59192,                0.65381,                0.81629,                0.95858,             0.00069552,             0.00069552,             0.00069552
                      5,                0.71469,                0.70433,                0.91393,                 0.9344,                0.84351,                0.91063,                0.73672,                0.70013,                0.69426,                0.96125,             0.00086453,             0.00086453,             0.00086453
                      6,                0.69327,                0.60247,                0.93357,                 0.9695,                0.89443,                0.91805,                 0.7575,                0.61829,                0.57087,                0.92552,              0.0010299,              0.0010299,              0.0010299
                      7,                0.68311,                0.55867,                0.92514,                0.99294,                0.88623,                0.93327,                 0.7735,                0.58784,                0.51704,                0.91806,              0.0011917,              0.0011917,              0.0011917
                      8,                0.67229,                0.53491,                0.87938,                0.97806,                0.90984,                0.91966,                0.77733,                0.62541,                0.54593,                0.91515,              0.0013498,              0.0013498,              0.0013498
                      9,                0.68751,                0.53729,                0.89751,                0.98842,                0.93253,                0.93959,                  0.773,                0.65458,                 0.4998,                0.92373,              0.0015043,              0.0015043,              0.0015043
                     10,                0.66774,                0.52231,                0.91486,                0.99873,                0.92623,                0.94686,                0.77588,                0.63323,                0.46241,                0.89625,              0.0015185,              0.0015185,              0.0015185
                     11,                   0.66,                0.50845,                0.90857,                0.98972,                0.91803,                0.94383,                0.78366,                0.63008,                0.45496,                0.91243,               0.001502,               0.001502,               0.001502
                     12,                0.67425,                0.49846,                0.90278,                0.98202,                0.93101,                0.94528,                0.79097,                0.59857,                0.47253,                0.88142,              0.0014855,              0.0014855,              0.0014855
                     13,                0.61343,                0.47225,                  0.869,                 0.9913,                0.93121,                0.95159,                0.79636,                0.60789,                0.46118,                0.96948,               0.001469,               0.001469,               0.001469
                     14,                0.57561,                0.46635,                 0.8903,                0.99632,                0.93443,                0.94769,                0.79974,                0.58854,                0.42993,                0.90534,              0.0014525,              0.0014525,              0.0014525
                     15,                0.65876,                0.51627,                0.92584,                0.98777,                0.93443,                 0.9431,                0.79842,                0.55698,                 0.4542,                0.88886,               0.001436,               0.001436,               0.001436
                     16,                0.61055,                0.48627,                0.88131,                 0.9978,                0.92828,                0.93752,                0.78848,                0.57459,                0.48294,                0.88063,              0.0014195,              0.0014195,              0.0014195
                     17,                0.59128,                 0.4752,                0.86543,                0.97295,                0.93062,                0.93674,                0.80307,                0.56789,                0.53144,                0.88621,              0.0014029,              0.0014029,              0.0014029
                     18,                0.61456,                0.47447,                0.88378,                0.98293,                0.91284,                0.94402,                0.79653,                0.57101,                 0.4896,                0.88446,              0.0013864,              0.0013864,              0.0013864
                     19,                0.60531,                 0.4516,                0.88692,                0.99007,                0.92067,                0.94786,                0.79403,                  0.609,                0.45714,                0.89645,              0.0013699,              0.0013699,              0.0013699
                     20,                0.58298,                0.44309,                0.87238,                 0.9935,                 0.9196,                0.94653,                 0.8054,                0.57155,                0.43541,                0.89384,              0.0013534,              0.0013534,              0.0013534
                     21,                0.59165,                0.46331,                0.85891,                0.97756,                0.92449,                0.94714,                0.80693,                0.58072,                0.41926,                0.89308,              0.0013369,              0.0013369,              0.0013369
                     22,                0.60272,                0.45806,                0.88238,                0.98736,                0.92999,                0.94779,                0.80546,                 0.5808,                0.51973,                0.89177,              0.0013204,              0.0013204,              0.0013204
                     23,                0.56625,                0.43292,                0.85998,                  0.983,                0.90323,                0.94528,                0.80879,                0.58038,                0.46022,                0.86949,              0.0013039,              0.0013039,              0.0013039
                     24,                 0.5776,                 0.4441,                0.86543,                0.98694,                0.91388,                0.94657,                0.81517,                0.56168,                0.43373,                0.86143,              0.0012874,              0.0012874,              0.0012874
                     25,                0.59104,                0.43471,                0.86507,                 0.9886,                0.93298,                0.94841,                0.83415,                0.53698,                0.41409,                 0.8642,              0.0012709,              0.0012709,              0.0012709
                     26,                0.55787,                0.39676,                0.87224,                0.98832,                0.93027,                0.95036,                0.81762,                0.55432,                0.41221,                0.86709,              0.0012544,              0.0012544,              0.0012544
                     27,                0.56651,                0.38429,                0.85799,                0.99619,                0.93241,                0.95211,                0.82091,                0.54346,                0.39476,                0.86097,              0.0012379,              0.0012379,              0.0012379
                     28,                0.56228,                0.40479,                0.86624,                0.99696,                0.93184,                0.95257,                0.82811,                0.56207,                0.40108,                0.88556,              0.0012214,              0.0012214,              0.0012214
                     29,                0.57984,                0.42507,                0.87011,                0.99652,                0.93443,                0.95252,                0.84575,                0.53536,                0.40243,                0.87536,              0.0012049,              0.0012049,              0.0012049
                     30,                0.57342,                0.41409,                0.86512,                0.99121,                 0.9476,                0.96573,                0.84713,                0.51911,                0.36769,                0.86817,              0.0011884,              0.0011884,              0.0011884
                     31,                0.55601,                0.40212,                0.87552,                0.99175,                0.95082,                 0.9753,                0.84858,                 0.5119,                0.36784,                0.85547,              0.0011719,              0.0011719,              0.0011719
                     32,                0.53408,                0.39338,                 0.8749,                0.98794,                0.95902,                0.97553,                0.83476,                0.52917,                0.39754,                0.85084,              0.0011554,              0.0011554,              0.0011554
                     33,                0.55288,                0.39263,                 0.8801,                0.99378,                0.95619,                0.96788,                0.84468,                0.53895,                 0.3933,                0.85912,              0.0011389,              0.0011389,              0.0011389
                     34,                 0.5419,                0.39065,                0.86875,                 0.9951,                0.95082,                0.96371,                0.84614,                 0.5362,                0.40037,                0.86628,              0.0011224,              0.0011224,              0.0011224
                     35,                0.52135,                0.36738,                 0.8605,                0.99337,                0.95082,                0.96775,                0.82764,                0.56792,                0.39176,                0.86277,              0.0011059,              0.0011059,              0.0011059
                     36,                0.55407,                0.38132,                 0.8635,                0.99123,                0.95765,                0.97404,                0.83573,                 0.5439,                0.36861,                0.86542,              0.0010894,              0.0010894,              0.0010894
                     37,                0.51954,                 0.3879,                0.84109,                0.98523,                0.95082,                0.97212,                0.83736,                0.55681,                0.38858,                 0.8692,              0.0010729,              0.0010729,              0.0010729
                     38,                0.52984,                0.39478,                0.86471,                0.98703,                0.95902,                0.97353,                0.85047,                0.51296,                 0.3655,                 0.8635,              0.0010564,              0.0010564,              0.0010564
                     39,                0.53029,                0.39056,                0.84039,                0.98239,                0.95628,                0.97605,                0.85164,                0.51979,                 0.3632,                0.85137,              0.0010399,              0.0010399,              0.0010399
                     40,                0.51959,                0.38745,                0.84974,                0.97948,                 0.9513,                0.96814,                0.83746,                0.54099,                0.36332,                0.86853,              0.0010234,              0.0010234,              0.0010234
